Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Dementia.,Dementia (London),1471-3012,1741-2684,England,Psychiatry,2002,101128698
Drugs & aging.,Drugs Aging,1170-229X,1179-1969,New Zealand,Drug Therapy; Geriatrics,1991,9102074
European geriatric medicine.,Eur Geriatr Med,1878-7649,1878-7657,Switzerland,Geriatrics,2010,101533694
Experimental aging research.,Exp Aging Res,0361-073X,1096-4657,United States,Geriatrics,1975,7603335
Experimental gerontology.,Exp Gerontol,0531-5565,1873-6815,England,Geriatrics,1964,0047061
Geriatric nursing.,Geriatr Nurs,0197-4572,1528-3984,United States,Geriatrics; Nursing,1980,8309633
Geriatrics & gerontology international.,Geriatr Gerontol Int,1444-1586,1447-0594,Japan,Geriatrics,2001,101135738
Gerodontology.,Gerodontology,0734-0664,1741-2358,England,Dentistry; Geriatrics,1982,8215850
Gerontology & geriatrics education.,Gerontol Geriatr Educ,0270-1960,1545-3847,England,Education; Geriatrics,1980,8101294
Gerontology.,Gerontology,0304-324X,1423-0003,Switzerland,Geriatrics,1976,7601655
GeroScience.,Geroscience,2509-2715,2509-2723,Switzerland,Geriatrics,2017,101686284
International journal of aging & human development.,Int J Aging Hum Dev,0091-4150,1541-3535,United States,Geriatrics,1973,0370033
International journal of geriatric psychiatry.,Int J Geriatr Psychiatry,0885-6230,1099-1166,England,Geriatrics; Psychiatry,1986,8710629
International journal of older people nursing.,Int J Older People Nurs,1748-3735,1748-3743,England,Geriatrics; Nursing,2006,101267281
International journal of palliative nursing.,Int J Palliat Nurs,1357-6321,2052-286X,England,Nursing; Palliative Care,1995,9506762
International psychogeriatrics,Int Psychogeriatr,1041-6102,1741-203X,United States,Geriatrics; Psychiatry,1989,9007918
JMIR aging.,JMIR Aging,,2561-7605,Canada,Geriatrics; Medical Informatics,2018,101740387
Journal of aging & social policy.,J Aging Soc Policy,0895-9420,1545-0821,England,Geriatrics; Public Health,1989,8914669
Journal of aging and health.,J Aging Health,0898-2643,1552-6887,United States,Geriatrics,1989,8912686
Journal of aging and physical activity.,J Aging Phys Act,1063-8652,1543-267X,United States,Geriatrics,1993,9415639
Journal of aging studies.,J Aging Stud,0890-4065,1879-193X,England,Geriatrics,1987,8916517
Journal of Alzheimer's disease : JAD.,J Alzheimers Dis,1387-2877,1875-8908,United States,Geriatrics; Neurology,1998,9814863
Journal of applied gerontology : the official journal of the Southern Gerontological Society.,J Appl Gerontol,0733-4648,1552-4523,United States,Acquired Immunodeficiency Syndrome; Geriatrics,1982,8606502
Journal of cross-cultural gerontology.,J Cross Cult Gerontol,0169-3816,1573-0719,Netherlands,Geriatrics,1986,8700909
Journal of elder abuse & neglect.,J Elder Abuse Negl,0894-6566,1540-4129,England,Geriatrics,1989,8914370
Journal of geriatric oncology.,J Geriatr Oncol,1879-4068,1879-4076,Netherlands,Geriatrics; Neoplasms,2010,101534770
Journal of geriatric physical therapy.,J Geriatr Phys Ther,1539-8412,2152-0895,United States,Geriatrics; Physical and Rehabilitation Medicine,2001,101142169
Journal of geriatric psychiatry and neurology.,J Geriatr Psychiatry Neurol,0891-9887,1552-5708,United States,Geriatrics; Neurology; Psychiatry,1988,8805645
Journal of gerontological nursing.,J Gerontol Nurs,0098-9134,,United States,Geriatrics; Nursing,1975,7510258
Journal of gerontological social work.,J Gerontol Soc Work,0163-4372,1540-4048,United States,Geriatrics; Social Sciences,1978,7903311
Journal of hospice and palliative nursing : JHPN : the official journal of the Hospice and Palliative Nurses Association.,J Hosp Palliat Nurs,1522-2179,1539-0705,United States,Nursing; Palliative Care,1999,100887419
Journal of nutrition in gerontology and geriatrics.,J Nutr Gerontol Geriatr,2155-1197,2155-1200,United States,Geriatrics; Nutritional Sciences,2011,101558292
Journal of pain & palliative care pharmacotherapy.,J Pain Palliat Care Pharmacother,1536-0288,1536-0539,England,Drug Therapy; Palliative Care; Psychophysiology,2002,101125608
Journal of palliative care.,J Palliat Care,0825-8597,2369-5293,United States,Palliative Care,1985,8610345
Journal of palliative medicine.,J Palliat Med,1096-6218,1557-7740,United States,Palliative Care,1998,9808462
Journal of social work in end-of-life & palliative care.,J Soc Work End Life Palliat Care,1552-4256,1552-4264,United States,Palliative Care; Social Sciences,2005,101235219
Journal of the American Geriatrics Society.,J Am Geriatr Soc,0002-8614,1532-5415,United States,Geriatrics,1953,7503062
Journal of women & aging.,J Women Aging,0895-2841,1540-7322,England,Geriatrics; Women's Health,1988,8916635
Maturitas.,Maturitas,0378-5122,1873-4111,Ireland,Geriatrics,1978,7807333
Mechanisms of ageing and development.,Mech Ageing Dev,0047-6374,1872-6216,Ireland,Geriatrics,1972,0347227
Nature aging.,Nat Aging,,2662-8465,United States,Geriatrics,2021,101773306
Neurobiology of aging.,Neurobiol Aging,0197-4580,1558-1497,United States,Geriatrics; Neurology; Physiology,1980,8100437
"Neuropsychology, development, and cognition. Section B, Aging, neuropsychology and cognition.",Neuropsychol Dev Cogn B Aging Neuropsychol Cogn,1382-5585,1744-4128,United States,Geriatrics; Neurology; Psychology,1996,9614434
Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics.,Nihon Ronen Igakkai Zasshi,0300-9173,,Japan,Geriatrics,1964,7507332
Nursing older people.,Nurs Older People,1472-0795,2047-8941,England,Geriatrics; Nursing,2000,101084156
Oxidative medicine and cellular longevity.,Oxid Med Cell Longev,1942-0900,1942-0994,United States,Cell Biology; Metabolism,2008,101479826
Palliative & supportive care.,Palliat Support Care,1478-9515,1478-9523,England,Palliative Care; Psychology,2003,101232529
Palliative medicine.,Palliat Med,0269-2163,1477-030X,England,Palliative Care,1987,8704926
Psychogeriatrics : the official journal of the Japanese Psychogeriatric Society.,Psychogeriatrics,1346-3500,1479-8301,England,Geriatrics; Psychology,2001,101230058
Psychology and aging.,Psychol Aging,0882-7974,1939-1498,United States,Geriatrics; Psychology,1986,8904079
Rejuvenation research.,Rejuvenation Res,1549-1684,1557-8577,United States,Geriatrics; Physiology,2004,101213381
Research in gerontological nursing.,Res Gerontol Nurs,1940-4921,1938-2464,United States,Geriatrics; Nursing,2008,101392499
Research on aging.,Res Aging,0164-0275,1552-7573,United States,Geriatrics; Psychology,1979,7908221
"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry.",Spec Care Dentist,0275-1879,1754-4505,United States,Dentistry,1981,8103755
The aging male : the official journal of the International Society for the Study of the Aging Male.,Aging Male,1368-5538,1473-0790,England,Geriatrics,1998,9808210
The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry.,Am J Geriatr Psychiatry,1064-7481,1545-7214,England,Geriatrics; Psychiatry,1993,9309609
The American journal of hospice & palliative care.,Am J Hosp Palliat Care,1049-9091,1938-2715,United States,Nursing; Palliative Care,1990,9008229
The Gerontologist.,Gerontologist,0016-9013,1758-5341,United States,Geriatrics,1961,0375327
The Journal of frailty & aging.,J Frailty Aging,2260-1341,2273-4309,United States,Geriatrics; Physiology,2012,101604797
"The journal of nutrition, health & aging.",J Nutr Health Aging,1279-7707,1760-4788,France,Geriatrics; Nutritional Sciences,1997,100893366
The journal of prevention of Alzheimer's disease.,J Prev Alzheimers Dis,2274-5807,2426-0266,United States,Neurology,2014,101638820
"The journals of gerontology. Series A, Biological sciences and medical sciences.",J Gerontol A Biol Sci Med Sci,1079-5006,1758-535X,United States,Geriatrics,1995,9502837
"The journals of gerontology. Series B, Psychological sciences and social sciences.",J Gerontol B Psychol Sci Soc Sci,1079-5014,1758-5368,United States,Geriatrics; Psychology; Social Sciences,1995,9508483
The lancet. Healthy longevity.,Lancet Healthy Longev,,2666-7568,England,Geriatrics; Public Health,2020,101773309
The Senior care pharmacist.,Sr Care Pharm,2639-9636,2639-9644,United States,Geriatrics; Pharmacy,2019,101737969
Tijdschrift voor gerontologie en geriatrie.,Tijdschr Gerontol Geriatr,0167-9228,1875-6832,Netherlands,Geriatrics,1982,8210346
Zeitschrift für Gerontologie und Geriatrie.,Z Gerontol Geriatr,0948-6704,1435-1269,Germany,Geriatrics,1995,9506215
Journal of Parkinson's disease.,J Parkinsons Dis,1877-7171,1877-718X,United States,Neurology,2011,101567362
Parkinsonism & related disorders.,Parkinsonism Relat Disord,1353-8020,1873-5126,England,Neurology,1995,9513583
Archives of osteoporosis.,Arch Osteoporos,1862-3522,1862-3514,England,Metabolism; Orthopedics,2006,101318988
Current osteoporosis reports.,Curr Osteoporos Rep,1544-1873,1544-2241,United States,Metabolism; Orthopedics,2003,101176492
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA.,Osteoporos Int,0937-941X,1433-2965,England,Metabolism; Orthopedics,1990,9100105
